fiscal_year,state,category,percentage,unit
2021-22,West Bengal,Food and Beverages,4.60,
2021-22,ALL INDIA,Food and Beverages,4.30,
2021-22,Andaman and Nicobar Islands,Fuel and Light,13.60,
2021-22,Andhra Pradesh,Fuel and Light,12.00,
2021-22,Assam,Fuel and Light,10.20,
2021-22,Bihar,Fuel and Light,7.10,
2021-22,Chandigarh,Fuel and Light,11.30,
2021-22,Chhattisgarh,Fuel and Light,12.20,
2021-22,Dadra and Nagar Haveli,Fuel and Light,26.80,
2021-22,Daman and Diu,Fuel and Light,10.30,
2021-22,Delhi,Fuel and Light,18.00,
2021-22,Goa,Fuel and Light,22.50,
2021-22,Gujarat,Fuel and Light,10.60,
2021-22,Haryana,Fuel and Light,10.80,
2021-22,Himachal Pradesh,Fuel and Light,12.40,
2021-22,Jammu and Kashmir,Fuel and Light,18.00,
2021-22,Jharkhand,Fuel and Light,12.50,
2021-22,Karnataka,Fuel and Light,8.90,
2021-22,Kerala,Fuel and Light,13.40,
2021-22,Lakshadweep,Fuel and Light,7.30,
2021-22,Madhya Pradesh,Fuel and Light,17.70,
2021-22,Maharashtra,Fuel and Light,15.20,
2021-22,Manipur,Fuel and Light,12.70,
2021-22,Meghalaya,Fuel and Light,0.30,
2021-22,Mizoram,Fuel and Light,23.90,
2021-22,Nagaland,Fuel and Light,19.80,
2021-22,Odisha,Fuel and Light,15.50,
2021-22,Puducherry,Fuel and Light,24.30,
2021-22,Punjab,Fuel and Light,-13.80,
2021-22,Rajasthan,Fuel and Light,6.10,
2021-22,Sikkim,Fuel and Light,31.30,
2021-22,Tamil Nadu,Fuel and Light,19.30,
2021-22,Telangana,Fuel and Light,12.80,
2021-22,Tripura,Fuel and Light,10.90,
2021-22,Uttar Pradesh,Fuel and Light,11.00,
2021-22,Uttarakhand,Fuel and Light,8.50,
2021-22,West Bengal,Fuel and Light,16.20,
2021-22,ALL INDIA,Fuel and Light,11.30,
2021-22,Andaman and Nicobar Islands,Housing (Urban),4.80,
2021-22,Andhra Pradesh,Housing (Urban),4.30,
2021-22,Assam,Housing (Urban),4.30,
2021-22,Bihar,Housing (Urban),5.80,
2021-22,Chandigarh,Housing (Urban),0.40,
2021-22,Chhattisgarh,Housing (Urban),1.40,
2021-22,Dadra and Nagar Haveli,Housing (Urban),3.10,
2021-22,Daman and Diu,Housing (Urban),1.30,
2021-22,Delhi,Housing (Urban),0.60,
2021-22,Goa,Housing (Urban),1.60,
2021-22,Gujarat,Housing (Urban),2.60,
2021-22,Haryana,Housing (Urban),1.20,
2021-22,Himachal Pradesh,Housing (Urban),4.00,
2021-22,Jammu and Kashmir,Housing (Urban),5.50,
2021-22,Jharkhand,Housing (Urban),2.80,
2021-22,Karnataka,Housing (Urban),5.40,
2021-22,Kerala,Housing (Urban),4.50,
2021-22,Lakshadweep,Housing (Urban),7.30,
2021-22,Madhya Pradesh,Housing (Urban),2.40,
2021-22,Maharashtra,Housing (Urban),4.30,
2021-22,Manipur,Housing (Urban),2.00,
2021-22,Meghalaya,Housing (Urban),0.70,
2021-22,Mizoram,Housing (Urban),4.50,
2021-22,Nagaland,Housing (Urban),3.90,
2021-22,Odisha,Housing (Urban),1.70,
2021-22,Puducherry,Housing (Urban),3.70,
2021-22,Punjab,Housing (Urban),3.90,
2021-22,Rajasthan,Housing (Urban),2.70,
2021-22,Sikkim,Housing (Urban),7.60,
2021-22,Tamil Nadu,Housing (Urban),5.10,
2021-22,Telangana,Housing (Urban),8.10,
2021-22,Tripura,Housing (Urban),6.50,
2021-22,Uttar Pradesh,Housing (Urban),2.80,
2021-22,Uttarakhand,Housing (Urban),2.90,
2021-22,West Bengal,Housing (Urban),2.60,
2021-22,ALL INDIA,Housing (Urban),3.70,
2020-21,Andaman and Nicobar Islands,General,6.30,
2020-21,Andhra Pradesh,General,9.00,
2020-21,Assam,General,8.50,
2020-21,Bihar,General,7.30,
2020-21,Chandigarh,General,4.80,
2020-21,Chhattisgarh,General,8.00,
